18500.00,12,1
18500.00,19,1
18500.25,16,1
18500.00,27,1
18500.00,36,1
18500.00,15,1
18500.00,19,-1
18500.25,18,1
18500.00,48,1
18500.25,47,1
18500.25,38,1
18500.25,31,-1
18500.00,20,-1
18500.00,22,1
18499.75,24,-1
18499.75,33,1
18500.00,13,-1
18499.75,35,-1
18499.50,30,-1
18499.75,5,-1
18499.75,22,1
18500.00,32,-1
18500.25,26,1
18500.00,9,-1
18499.75,6,1
18499.75,2,-1
18499.50,3,1
18499.75,46,1
18500.00,25,-1
18499.75,30,1
18499.50,12,-1
18499.25,7,1
18499.00,31,-1
18498.75,22,-1
18498.75,15,1
18498.50,3,-1
18498.75,14,1
18498.50,6,-1
18498.25,28,-1
18498.00,43,1
18497.75,33,-1
18497.50,28,1
18497.75,37,1
18498.00,30,-1
18498.00,40,1
18498.00,4,1
18497.75,13,1
18497.50,26,1
18497.50,5,-1
18497.50,46,1
18497.50,28,-1
18497.50,7,1
18497.50,30,-1
18497.25,27,-1
18497.00,28,1
18496.75,23,-1
18496.75,38,-1
18497.00,5,-1
18497.25,39,1
18497.50,30,-1
18497.75,26,-1
18498.00,24,-1
18497.75,39,-1
18498.00,33,1
18497.75,28,1
18497.50,10,1
18497.25,6,-1
18497.50,22,-1
18497.50,45,-1
18497.25,45,-1
18497.25,20,-1
18497.50,8,-1
18497.50,29,-1
18497.50,14,1
18497.25,32,-1
18497.25,29,-1
18497.00,49,-1
18497.25,50,-1
18497.00,23,-1
18497.00,26,-1
18497.00,9,1
18496.75,40,1
18496.75,7,1
18496.50,14,1
18496.75,21,-1
18497.00,5,1
18497.25,35,-1
18497.00,22,1
18497.25,3,1
18497.50,28,1
18497.25,30,1
18497.50,3,-1
18497.75,24,-1
18497.75,19,-1
18498.00,26,1
18497.75,27,1
18497.75,28,1
18497.75,14,-1
18497.75,26,-1
18497.50,19,-1
18497.50,35,1
18497.75,21,1
18497.50,37,1
18497.25,11,1
18497.50,21,1
18497.75,28,1
18498.00,20,-1
18497.75,27,-1
18497.50,12,1
18497.50,2,-1
18497.50,15,1
18497.50,38,1
18497.75,7,-1
18497.50,40,-1
18497.25,27,1
18497.00,6,-1
18497.25,19,1
18497.25,48,-1
18497.50,17,-1
18497.75,29,1
18497.50,35,1
18497.25,4,-1
18497.50,48,1
18497.75,21,1
18498.00,44,1
18497.75,36,-1
18497.75,25,1
18497.50,24,1
18497.50,48,-1
18497.50,20,-1
18497.50,26,-1
18497.25,22,-1
18497.25,45,1
18497.50,2,1
18497.25,29,1
18497.50,14,1
18497.50,31,-1
18497.25,26,-1
18497.25,21,-1
18497.25,3,-1
18497.00,30,1
18497.00,5,-1
18497.00,21,1
18497.00,10,1
18497.00,50,1
